isin,date
AU0000040057,2019Q4
BMG947871015,2019Q4
BSP736841136,2019Q4
CA58504D1006,2019Q4
IL0011574030,2019Q4
KYG2588M1006,2019Q4
US04546L1061,2019Q4
US08862E1091,2019Q4
US1461021081,2019Q4
US1567271093,2019Q4
US23255M1053,2019Q4
US29415F1049,2019Q4
US38341P1021,2019Q4
US39874R1014,2019Q4
US50050N1037,2019Q4
US69753M1053,2019Q4
US70805E1091,2019Q4
US82489T1043,2019Q4
US82710M1009,2019Q4
US88339P1012,2019Q4
US8926721064,2019Q4
US90041T1088,2019Q4
BRNTCOACNOR5,2019Q4
INE001A01036,2019Q4
KYG2120T1004,2019Q4
KYG549581067,2019Q4
KYG1674K1013,2019Q4
US72352L1061,2019Q4
US30767E3071,2019Q4
US86150R1077,2019Q4
US74349J1034,2019Q4
IL0011552663,2019Q4
CH0343995830,2019Q4
CH0242045109,2019Q4
CH0283474903,2019Q4
US3135867378,2019Q4
US3134006408,2019Q4
DE000A2TUWW0,2019Q4
CH0460027110,2019Q4
CA65343P1036,2019Q4
CH0415817110,2019Q4
CH0399197042,2019Q4
US3135867527,2019Q4
US3134006242,2019Q4
CH0365501979,2019Q4
US89377M1099,2019Q4
CH0461929603,2019Q4
US6496048736,2019Q4
US16679L1098,2019Q4
CA14075H2028,2019Q4
DE000A1YC996,2019Q4
CH0459347198,2019Q4
CA55344L1022,2019Q4
CH0002227087,2019Q4
US83192H1068,2019Q4
US25153X2080,2019Q4
US74340E1038,2019Q4
KYG4723A1085,2019Q4
SE0013042561,2019Q4
JP354866PFC3,2019Q4
JP325390PG36,2019Q4
KYG8918W1069,2019Q4
US1730802014,2019Q4
DE000A2FTV17,2019Q4
BMG9108L1578,2019Q4
BMG9108L1321,2019Q4
BMG9108L1404,2019Q4
BMG9108L1651,2019Q4
BSP3919R1072,2019Q4
US8342511008,2019Q4
IL0011595993,2019Q4
DE0005009740,2019Q4
US0357108705,2019Q4
SE0000652083,2019Q4
SE0009580756,2019Q4
SE0011563410,2019Q4
SE0011644392,2019Q4
SE0012955276,2019Q4
US98475Y1055,2019Q4
KYG8903A1013,2019Q4
KYG888461038,2019Q4
KYG6329A1013,2019Q4
KYG0404F1019,2019Q4
KR7278280003,2019Q4
KYG3313W1087,2019Q4
INE455K01017,2019Q4
KR7208340000,2019Q4
INE09EO01013,2019Q4
KYG7853U1094,2019Q4
